ts_mono_s,tb_new_bytes,tb_retx_bytes,num_new_tb,num_retx_tb
785783.953890,59669660,3422157,56770,3102
785783.953902,59669660,3422157,56770,3102
785783.953914,59669660,3422157,56770,3102
785783.953925,59669660,3422157,56770,3102
785783.953946,59669660,3422157,56770,3102
785783.953958,59669660,3422157,56770,3102
785783.953970,59669660,3422157,56770,3102
785783.953983,59669660,3422157,56770,3102
785783.954006,59669660,3422157,56770,3102
785783.954018,59669660,3422157,56770,3102
785783.954030,59669660,3422157,56770,3102
785783.954042,59669660,3422157,56770,3102
785783.954063,59669660,3422157,56770,3102
785783.954075,59669660,3422157,56770,3102
785783.954087,59669660,3422157,56770,3102
785783.954098,59669660,3422157,56770,3102
785783.954119,59669660,3422157,56770,3102
785783.954133,59669660,3422157,56770,3102
785783.954144,59669660,3422157,56770,3102
785783.954156,59669660,3422157,56770,3102
785783.954177,59669660,3422157,56770,3102
785783.954189,59669660,3422157,56770,3102
785783.954201,59669660,3422157,56770,3102
785783.954213,59669660,3422157,56770,3102
785783.954233,59669660,3422157,56770,3102
785783.954246,59669660,3422157,56770,3102
785783.954257,59669660,3422157,56770,3102
785783.954269,59669660,3422157,56770,3102
785783.954291,59669660,3422157,56770,3102
785783.954303,59669660,3422157,56770,3102
785783.954315,59669660,3422157,56770,3102
785783.954327,59669660,3422157,56770,3102
785783.954348,59669660,3422157,56770,3102
785783.954361,59669660,3422157,56770,3102
785783.954372,59669660,3422157,56770,3102
785783.954384,59669660,3422157,56770,3102
785783.954406,59669660,3422157,56770,3102
785783.954418,59669660,3422157,56770,3102
785783.954430,59669660,3422157,56770,3102
785783.954442,59669660,3422157,56770,3102
785783.954462,59669660,3422157,56770,3102
785783.954475,59669660,3422157,56770,3102
785783.954487,59669660,3422157,56770,3102
785783.954499,59669660,3422157,56770,3102
785783.954519,59669660,3422157,56770,3102
785783.954532,59669660,3422157,56770,3102
785783.954544,59669660,3422157,56770,3102
785783.954556,59669660,3422157,56770,3102
785783.954577,59669660,3422157,56770,3102
785783.954589,59669660,3422157,56770,3102
785783.954601,59669660,3422157,56770,3102
785783.954612,59669660,3422157,56770,3102
785783.954632,59669660,3422157,56770,3102
785783.954645,59669660,3422157,56770,3102
785783.954657,59669660,3422157,56770,3102
785783.954668,59669660,3422157,56770,3102
785783.954690,59669660,3422157,56770,3102
785783.954702,59669660,3422157,56770,3102
785783.954715,59669660,3422157,56770,3102
785783.954727,59669660,3422157,56770,3102
785783.954748,59669660,3422157,56770,3102
785783.954760,59669660,3422157,56770,3102
785783.954772,59669660,3422157,56770,3102
785783.954784,59669660,3422157,56770,3102
785783.954806,59669660,3422157,56770,3102
785783.954818,59669660,3422157,56770,3102
785783.954830,59669660,3422157,56770,3102
785783.954841,59669660,3422157,56770,3102
785783.954862,59669660,3422157,56770,3102
785783.954875,59669660,3422157,56770,3102
785783.954887,59669660,3422157,56770,3102
785783.954898,59669660,3422157,56770,3102
785783.954919,59669660,3422157,56770,3102
785783.954931,59669660,3422157,56770,3102
785783.954942,59669660,3422157,56770,3102
785783.954955,59669660,3422157,56770,3102
785783.954976,59669660,3422157,56770,3102
785783.954988,59669660,3422157,56770,3102
785783.955000,59669660,3422157,56770,3102
785783.955012,59669660,3422157,56770,3102
785783.955033,59669660,3422157,56770,3102
785783.955045,59669660,3422157,56770,3102
785783.955057,59669660,3422157,56770,3102
785783.955070,59669660,3422157,56770,3102
785783.955092,59669660,3422157,56770,3102
785783.955105,59669660,3422157,56770,3102
785783.955117,59669660,3422157,56770,3102
785783.955129,59669660,3422157,56770,3102
785783.955149,59669660,3422157,56770,3102
785783.955162,59669660,3422157,56770,3102
785783.955174,59669660,3422157,56770,3102
785783.955185,59669660,3422157,56770,3102
785783.955207,59669660,3422157,56770,3102
785783.955219,59669660,3422157,56770,3102
785783.955232,59669660,3422157,56770,3102
785783.955244,59669660,3422157,56770,3102
785783.955265,59669660,3422157,56770,3102
785783.955278,59669660,3422157,56770,3102
785783.955290,59669660,3422157,56770,3102
785783.955302,59669660,3422157,56770,3102
785783.955322,59669660,3422157,56770,3102
785783.955335,59669660,3422157,56770,3102
785783.955347,59669660,3422157,56770,3102
785783.955358,59669660,3422157,56770,3102
785783.955380,59669660,3422157,56770,3102
785783.955392,59669660,3422157,56770,3102
785783.955404,59669660,3422157,56770,3102
785783.955415,59669660,3422157,56770,3102
785783.955436,59669660,3422157,56770,3102
785783.955450,59669660,3422157,56770,3102
785783.955461,59669660,3422157,56770,3102
785783.955473,59669660,3422157,56770,3102
785783.955495,59669660,3422157,56770,3102
785783.955508,59669660,3422157,56770,3102
785783.955520,59669660,3422157,56770,3102
785783.955532,59669660,3422157,56770,3102
785783.955552,59669660,3422157,56770,3102
785783.955565,59669660,3422157,56770,3102
785783.955577,59669660,3422157,56770,3102
785783.955589,59669660,3422157,56770,3102
785783.955610,59669660,3422157,56770,3102
785783.955623,59669660,3422157,56770,3102
785783.955634,59669660,3422157,56770,3102
785783.955646,59669660,3422157,56770,3102
785783.955667,59669660,3422157,56770,3102
785783.955679,59669660,3422157,56770,3102
785783.955691,59669660,3422157,56770,3102
785783.955703,59669660,3422157,56770,3102
785783.955724,59669660,3422157,56770,3102
785783.955736,59669660,3422157,56770,3102
785783.955747,59669660,3422157,56770,3102
785783.955759,59669660,3422157,56770,3102
785783.955781,59669660,3422157,56770,3102
785783.955794,59669660,3422157,56770,3102
785783.955806,59669660,3422157,56770,3102
785783.955818,59669660,3422157,56770,3102
785783.955838,59669660,3422157,56770,3102
785783.955851,59669660,3422157,56770,3102
785783.955862,59669660,3422157,56770,3102
785783.955874,59669660,3422157,56770,3102
785783.955895,59669660,3422157,56770,3102
