epoch,tb_new_bytes,tb_retx_bytes,num_new_tb
1785579234.518892,60517249,3487661,57993
1785579234.523898,60519713,3487661,57996
1785579234.528892,60522161,3487661,57999
1785579234.533895,60524497,3487661,58002
1785579234.538892,60527089,3487661,58005
1785579234.543901,60529553,3487661,58008
1785579234.548894,60531985,3487661,58011
1785579234.553908,60534353,3487661,58014
1785579234.558891,60536945,3487661,58017
1785579234.563898,60539377,3487661,58020
1785579234.568892,60541825,3487661,58023
1785579234.573895,60544193,3487661,58026
1785579234.578893,60546769,3487661,58029
1785579234.583905,60549233,3487661,58032
1785579234.588891,60551681,3487661,58035
1785579234.593908,60554017,3487661,58038
1785579234.598893,60556609,3487661,58041
1785579234.603902,60559073,3487661,58044
1785579234.608892,60561505,3487661,58047
1785579234.613895,60564178,3487661,58050
1785579234.618891,60566770,3487661,58053
1785579234.623898,60569524,3487661,58056
1785579234.628900,60571972,3487661,58059
1785579234.633905,60574308,3487661,58062
1785579234.638893,60576900,3487661,58065
1785579234.643907,60579686,3487661,58068
1785579234.648891,60582118,3487661,58071
1785579234.653895,60584486,3487661,58074
1785579234.658900,60587078,3487661,58077
1785579234.663900,60589832,3487661,58080
1785579234.668893,60592280,3487661,58083
1785579234.673914,60594648,3487661,58086
1785579234.678891,60597224,3487661,58089
1785579234.683905,60600010,3487661,58092
1785579234.688899,60602458,3487661,58095
1785579234.693895,60604794,3487661,58098
1785579234.698892,60607386,3487661,58101
1785579234.703908,60609850,3487661,58104
1785579234.708891,60612282,3487661,58107
1785579234.713908,60614650,3487661,58110
1785579234.718900,60617242,3487661,58113
1785579234.723899,60619674,3487661,58116
1785579234.728894,60622122,3487661,58119
1785579234.733902,60624490,3487661,58122
1785579234.738891,60627066,3487661,58125
1785579234.743898,60629530,3487661,58128
1785579234.748900,60631978,3487661,58131
1785579234.753909,60634314,3487661,58134
1785579234.758892,60636906,3487661,58137
1785579234.763905,60639370,3487661,58140
1785579234.768891,60641802,3487661,58143
1785579234.773894,60644170,3487661,58146
1785579234.778900,60646762,3487661,58149
1785579234.783904,60649516,3487661,58152
1785579234.788900,60651964,3487661,58155
1785579234.793917,60654300,3487661,58158
1785579234.798891,60656876,3487661,58161
1785579234.803901,60659340,3487661,58164
1785579234.808900,60661788,3487661,58167
1785579234.813894,60664124,3487661,58170
1785579234.818892,60666716,3487661,58173
1785579234.823905,60669502,3487661,58176
1785579234.828891,60671934,3487661,58179
1785579234.833905,60674302,3487661,58182
1785579234.838899,60676894,3487661,58185
1785579234.843898,60679326,3487661,58188
1785579234.848892,60681774,3487661,58191
1785579234.853903,60684142,3487661,58194
1785579234.858891,60686718,3487661,58197
1785579234.863899,60689504,3487661,58200
1785579234.868901,60691952,3487661,58203
1785579234.873908,60694288,3487661,58206
1785579234.878892,60696880,3487661,58209
1785579234.883911,60699344,3487661,58212
1785579234.888891,60701776,3487661,58215
1785579234.893893,60704144,3487661,58218
1785579234.898901,60706736,3487661,58221
1785579234.903900,60709168,3487661,58224
1785579234.908892,60711616,3487661,58227
1785579234.913913,60714289,3487661,58230
1785579234.918892,60716865,3487661,58233
1785579234.923904,60719651,3487661,58236
1785579234.928900,60722099,3487661,58239
1785579234.933895,60724435,3487661,58242
1785579234.938891,60727027,3487661,58245
1785579234.943905,60729491,3487661,58248
1785579234.948892,60731923,3487661,58251
1785579234.953909,60734291,3487661,58254
1785579234.958891,60736883,3487661,58257
1785579234.963899,60739315,3487661,58260
1785579234.968892,60741763,3487661,58263
1785579234.973895,60744131,3487661,58266
1785579234.978891,60746707,3487661,58269
1785579234.983907,60749171,3487661,58272
1785579234.988892,60751619,3487661,58275
1785579234.993906,60753955,3487661,58278
1785579234.998891,60756547,3487661,58281
1785579235.003900,60759333,3487661,58284
1785579235.008892,60761765,3487661,58287
1785579235.013893,60764133,3487661,58290
1785579235.018891,60766725,3487661,58293
1785579235.023898,60769157,3487661,58296
1785579235.028892,60771605,3487661,58299
1785579235.033908,60773973,3487661,58302
1785579235.038891,60776549,3487661,58305
1785579235.043898,60779335,3487661,58308
1785579235.048891,60781783,3487661,58311
1785579235.053894,60784119,3487661,58314
1785579235.058891,60786711,3487661,58317
1785579235.063899,60789175,3487661,58320
1785579235.068895,60791607,3487661,58323
1785579235.073906,60793975,3487661,58326
1785579235.078892,60796567,3487661,58329
1785579235.083905,60798999,3487661,58332
1785579235.088891,60801447,3487661,58335
1785579235.093895,60803815,3487661,58338
1785579235.098891,60806391,3487661,58341
1785579235.103899,60809177,3487661,58344
1785579235.108891,60811625,3487661,58347
1785579235.113909,60813961,3487661,58350
1785579235.118892,60816553,3487661,58353
